"Word","Meaning","Usage"
"jackrabbit","noun: Any of various hares having long ears and very long hind legs.
verb intr.: To move or begin to move very quickly.
adjective: Moving or beginning to move very quickly.","“I stare him down, heart jackrabbiting out of my chest.” Julia Kent; Shopping for a Billionaire Boxed Set; Kindle; 2021."
"chevachee","noun: An expedition, raid, or campaign.","“Nicolas Sarkozy, the French President, brings a secret weapon with him today. It, or rather she, is his mother-in-law. ... This makes it a unique chevachee in the long history of Anglo-French ententes cordiales and not so cordiales.” Blair Force One; The Times (London, UK); Feb 16, 2002. “The word chevachee is the most apt way of describing the Mongol raiding tactics in 1211, for it is an act of plundering on a relentless and extensive scale.” James Waterson; Defending Heaven; Pen & Sword Books; 2013."
"plutography","noun: The genre that chronicles the lifestyles of the rich and famous.","“These works are China’s closest approximation to plutography; Cheng’s attention to the brand names and schools by which the old rich set themselves apart from upstarts shows an eye for detail.” Pang-Yuan Chi and David Der-wei Wang; Chinese Literature in the Second Half of a Modern Century; Indiana University Press; 2000."
"miniate","verb tr.:
1. To decorate a manuscript, book, etc., with colors, gold, silver, etc.
2. To paint in red, titles, headings, or important parts of a book or manuscript.","“There, after the fall of the Soviet empire, the goods from distant Asian lands -- Siberian caviar, miniated manuscripts, Uzbek fabrics, ... were now back in full display.” Arianna Dagnino; Transcultural Writers and Novels in the Age of Global Mobility; Purdue University Press; 2015."
"irredentist","noun: One advocating the restoration of territory that earlier belonged to one’s country.","“Many products ... featured a map of Greater Hungary, the larger, pre-World War I territory whose restoration is the ultimate aim of the country’s irredentists.” Jacob Mikanowski; The Call of the Drums; Harper’s (New York); Aug 2019."
"recurse","verb tr., intr.
1. To describe, define, or perform something in terms of itself.
2. To perform an operation by repeated application of a technique,
such that the results of the first step are put through the
same technique again.","“But as I recursed through the doors time and time again, what was changing? Nothing seemed to change? I seemed to be caught in an endless loop that would eventually lead to madness.” Gil Waugh; Mind Surfing; iUniverse; 2008. “I will break society’s recursing corruption. Civilization is reaching its base case.” Justin March; American Hex; BookRix; 2013."
"decalcomania","noun:
1. The process of transferring a design from a specially prepared paper onto another surface.
2. A decal: a design on a specially prepared paper made to be transferred onto another surface.","“He put wet theatrical-quality decalcomania tattoos onto his right upper arm.” Anthony Wolff; The Case of the Monja Blanca; AuthorHouse; 2014."
"groundhog day","noun: A situation in which events are repeated as if in a loop, especially when such events are of a tedious or monotonous nature.","“Giaan Rooney: There are no two days that are the same ... and that’s what I needed after the groundhog day experience of a swimming career.” Lisa Mayoh; Pandemic Pause; The Daily Telegraph (Surry Hills, Australia); Jul 23, 2022."
"rashomon","adjective: Relating to differing accounts or subjective interpretations of an event.","“The rashomon stories recounting the death of Jhondie Maglinte Helis are typical of the Philippines’ war on drugs under President Rodrigo Duterte. ... The officers say they shot and killed the pair after both of them drew guns in an attempt to resist arrest. Civilian witnesses tell a different, if depressingly familiar, story: that the officers captured and summarily executed [them].” Silenced Witness; The Economist (London, UK); Jun 26, 2021."
"King Kong","noun: Something or someone of great size, strength, etc.
adjective: Huge.","“I am getting a King Kong headache, and if it holds true to form, we have about ten minutes to finish our business here, while I can still think.” Christine Michels; A Season Of Miracles; Silhouette; 1998."
"Mad Max","adjective: Dystopian, post-apocalyptic, anarchic.","“For the humans who survived, it’s turned into a Mad Max, dog-eat-dog nightmare, while shifters and wizards have forged communities in the forest away from the violence.” Nikki Jefford, et al; Once Upon A Quest; Fiddlehead Press; 2018."
"Godzilla","noun:
1. Someone or something of enormous size.
2. Someone or something fierce, frightening, monstrous, etc.","“She’d had too much to drink. ... She’d known she would wake up with a Godzilla of a hangover.” Candace Bushnell; Lipstick Jungle; Hyperion; 2008."
"rose-colored","adjective:
1. Optimistic or cheerful, especially naively or to an unrealistic degree.  Often used in the form “to see through rose-colored glasses”.
2. Of a bright pink or red color.","“Tom Foley sometimes talked of the ‘60s in Congress with a certain rose-colored reverence.” Jim Camden; Shutdown Wouldn’t Have Been Allowed; Spokesman Review (Spokane, Washington); Oct 20, 2013."
"Taj Mahal","noun: Something, especially a building, that is luxurious or an extraordinary example of its kind.","“Said [Glenda Baskin] Glover, the president: ‘Faculty look forward to working in a reasonable environment. They’re not looking for a Taj Mahal, but they don’t want to work in a building with water leaking from the ceiling.’” Katherine Mangan; The Betrayal of Historically Black Colleges; The Chronicle of Higher Education (Washington, DC); Oct 15, 2021."
"hotheaded","adjective:
1. Easily angered.
2. Very angry.
3. Rash.","“But the government’s response ... shows it sees the revolt as more than a spontaneous outburst by hotheaded, underpaid soldiers.” Keeping Its Head Above Water; The Economist (London, UK); Jun 13, 2009."
"chicken feed","noun: A small amount of something, especially money.","“It wasn’t a fortune, but it wasn’t chicken feed, either.” Linda Reilly; Escape Claws; Lyrical Press; 2017."
"third rail","noun:
1. A topic believed to be too controversial or charged to discuss.
2. A rail that runs near a railroad track to supply high-voltage power to an electric train.","“For more than 20 years borders have been the third rail of Australian politics, and on Thursday -- Anthony Albanese -- unwittingly, he says -- tripped over it.” The Daily Telegraph (Australia); 2022. “The abortion issue was already a third rail of Canadian politics before the latest US developments.” Toronto Star (Canada); 2022. “Mr. Macron took on the third rail of French politics -- reforming the country’s byzantine pension system.” The Wall Street Journal (New York); 2022. “German politicians are also openly considering nuclear energy, a third rail of German politics for decades.” Pittsburgh Post-Gazette (Pennsylvania); 2022. “Labour reform was the infamous third rail of Indian politics, to be touched by foolhardy politicians.” The Economic Times (New Delhi, India); 2020. “[Shinzo Abe] mused publicly about whether Japan should host US nuclear weapons, touching the third rail of Japanese politics.” The Australian (Canberra); 2022. “The fate of that [oligarchs’] wealth is the third rail of Russian politics.” The Christian Science Monitor (Boston); 2003. “[Rent control is] the third rail of Swedish politics.” The New York Times; 2019. “Gender equality, however, will remain the third rail of Saudi politics.” The American Prospect (Princeton, New Jersey); 2007. “And [Elizabeth Ames] said the NHS was a sacred cow. ‘It’s the third rail of UK politics.’” The Advertiser (Adelaide, Australia); 2019. Meanwhile in Florida... “They call Disney the third rail of politics in Florida.” The Washington Post; 2022."
"roseate","adjective:
1. Like a rose, especially in color: pink, red, etc.
2. Bright; favorable; promising.
3. Unreasonably optimistic.","“This roseate future isn’t pending, which causes one to despair.” Randy Boyagoda, Magic and Greed: Ngugi wa Thiong’o’s New Novel; Harper’s Magazine (New York); Sep 2006."
"daisy-chain","verb tr., intr.: To connect in a sequence, especially in a way such
that one element latches on to the next (instead of being connected
by another medium, such as a piece of thread).
noun: An interlinked sequence of things, events, people, etc.","“In the somber scene orderlies guide British Tommies blinded by mustard gas ... Daisy-chained like young schoolboys, the helpless soldiers shuffle along a duckboard through a tangle of similarly wounded men as planes dogfight overhead and oblivious footballers hold a match in the far distance.” Museum Showcases Sargent’s Iconic WWI Painting Gassed; Military History (Herndon, Virginia); Jul 2018. “Life is one long daisy chain of surprises, isn’t it?” Michael J.A. Speyer; The Chronicles of Samuel Sassodoro, Book Two; Lulu; 2007."
"orchidacity","noun: Showiness.","“Where orchidacity is the fashion homespun leaves one unsatisfied.” James Agate; Ego 9; Harrap; 1948."
"tall poppy","noun: Someone conspicuously successful, especially one likely to attract hostility.","“It remains a national pastime to scan the landscape for tall poppies, ensuring none of us get above ourselves.” Scanning for Poppies; Toronto Star (Canada); Jul 28, 2017."
"wallflower","noun
1. Someone who does not mingle at a social event, such as a party, dance, etc.
2. A person or an organization that is forced to stay at the sidelines of some activity.","“Virgin has been like a wallflower at a wedding reception, watching everyone else pair off.” Always the Bridesmaid: Virgin Atlantic; The Economist (London, UK); Sep 15, 2012."
"coruscate","verb intr.:
1. To sparkle, flash, or gleam.
2. To display great style or technique.","“Her face was wrinkled and old like the pages of a well-loved book, her eyes shone, and her silvery hair coruscated in the moonlight.” Aoife O’Connell; Cafe Terrace at Night; Stone Soup (Santa Cruz, California); Dec 2019. “A coruscating memoir by Fan Yusu, a domestic worker living in Beijing, was a national sensation when it was published online in 2017.” Production-Line Poets; The Economist (London, UK); Aug 14, 2021."
"plenitude","noun:
1. The state of being full.
2. Abundance.","“Your stomachs are round with the plenitude of eating.” Jack London; The Iron Heel; Macmillan; 1907."
"rufescent","adjective: Reddish.","“[The] rufescent flames of autumn are soon to pass.” Brianna R. Burton; Poetry: A Literary Diaries Collection; Burton Media Group; 2012."
"brume","noun: Fog or mist.","“The asphalt gave way to a dirt road through a rain forest, its canopy wreathed in brume.” Damon Tabor; The Greater The Sinner; The New Yorker; Mar 14, 2016."
"altiloquent","adjective: Pompous or pretentious.","“He reasons that most of us have a high opinion of ourselves and we feel validated when we hear others volunteering their own similar perceptions of our grandeur -- so long as those words come across as sincere rather than altiloquent.” James Adonis; Sucking Up: Does It Work?; The Sydney Morning Herald (Australia); Feb 21, 2014."
"bridezilla","noun: A woman who is overbearing and obnoxious in planning her wedding.","“She was a bit of a bridezilla herself. At her wedding, Katie changed the bridesmaid dresses at the last minute and put us in ones that we all hated.” Georgina Lawton; You Be the Judge; The Guardian (London, UK); Jul 22, 2022."
"autolatry","noun: Self-worship.","“It was not, she dreaded to surmise, the shadow of men merely drunk on vanity ... only as a result of deranged and maniac autolatry could such a construct have been born.” Chase A Folmar; Frolic on the Amaranthyn; Sable Star Press; 2022."
"allotriophagy","noun:
An abnormal desire to eat things not usually eaten, such as chalk or 
clay. Also known as pica.","“A taste for blood may very well be a form of allotriophagy.” Tatsuaki Ishiguro; Biogenesis; Kodansha; 2015."
"zoanthropy","noun: The delusion that one is a beast.","“Symptoms of zoanthropy typically range from one hour to several decades. The delusions are said to be more prevalent in rural and non-industrial areas.” Daniel Boffey; Case of Belgian Woman Who Thought She Was a Chicken Linked to Depression; The Guardian (London, UK); Jul 28, 2020."
"orography","noun: The study of the physical geography of mountains, such as features, topographic relief, etc.","“Cloudbursts ... occur because of rapid lifting of the monsoon clouds by the steep orography of the region.” Steep Rise in Cases of Extreme Monsoon Rain; The Economic Times (New Delhi, India); Sep 18, 2012. “Harald to her was a great continent or an exotic wild beast. The abrupt orography of his torso became irresistibly attractive to her.” Al Bas; Harald and the Holy Cross; Eloquent Books; 2008."
"timeserver","noun:
1. One who makes little effort at work, such as while waiting to retire or find another job.
2. One who changes views to conform to prevailing circumstances.
3. A computer that transmits precise time information on a network.","“He was a timeserver, awaiting the oncoming pension with all the anticipation of a hitchhiker at a truck stop.” Ian Rankin; A Question of Blood; Orion; 2003. “You believe in nothing firm or fixed. You are a timeserver.” Alasdair Gray; Poor Things; Bloomsbury; 1992."
"sandboy","noun:
1. A very happy person.
2. One who deals in sand.","“And the carefree Costa Ricans, 12th in the contentment league, are not alone. Arabs and ex-pats in the United Arab Emirates (17th) are happy as sandboys. The UK rates only 18th, below Luxembourg (a made-up country), Belgium (ditto), Israel (all right if you’re not an Arab), the USA (ditto if not black), and Austria (the dull country).” Paul Routledge; Stuff Your “Happy” Nations. GB’s Best; The Daily Mirror (London, UK); Apr 6, 2012."
"musicaster","noun: A mediocre musician.","“It was no longer a sanctuary, but a howling place. ... indigent musicasters ... chanted unfortunately.” J.K. Huysmans (Translation: C. Kegan Paul); En Route; Kegan, Paul, Trench, Trubner & Co.; 1918."
"grumbletonian","noun: A habitual complainer.","“Don’t fill your conversation with complaints and criticisms. No one wants to hang out with a grumbletonian.” Brett McKay & Kate McKay; The Art of Manliness; How Books; 2009."
"logodaedalist","noun: One skilled in using or coining words.","“She also solicited the aid of other Russian scholars, especially the chess master and logodaedalist Gennady Barabtarlo, who helped solve the riddles Vladimir posed for Vera.” Brian Boyd; Letters; The New York Times Book Review; Nov 29, 2015."
"ludicrous","adjective: So absurd as to provoke laughter.","“He could have just taken my word and not dragged us all through that ludicrous charade.” Wendy Wax; Leave it to Cleavage; Bantam; 2004."
"jaunty","adjective:
1. Stylish.
2. Lively; self-confident.","“A matching hat ... was perched atop her head at a jaunty angle.” Helen Dickson; Miss Cameron’s Fall from Grace; Harlequin; 2012. “Beneath his jaunty veneer, Brás Cubas harbours a melancholy pessimism.” Dead Man’s Blues; The Economist (London, UK); Aug 15, 2020."
"hipster","noun: One whose interests in clothing, music, etc., tend to be outside the mainstream, especially in a self-conscious way.","“A jaunty guest, some type of hipster, saunters up and speaks.” Ben Will; Smacking Lips; Booktango; 2013."
"decarbonize","verb tr., intr.: 1. To reduce or remove carbon emissions by curtailing the use of fossil fuels.
verb tr.: 2. To remove carbon deposits from something, such as an internal combustion engine.","“We could decarbonize. Clean the air till it squeaked. Quit coal and oil and gas, and plant trees where the companies had ripped up the land.” Premee Mohamed; The Void Ascendant; Rebellion Publishing; 2022. “He wants his plugs decarbonized. No doubt this is a shock to you.” P.G. Wodehouse; Right Ho, Jeeves; Herbert Jenkins; 1934."
"surly","adjective:
1. Rude; sullen; unfriendly.
2. Ominous or dismal (used for weather, clouds, sky, ocean, etc.).","“If she often seemed surly and bad-tempered while playing tennis, seemingly taking no joy whatsoever from the sport, it’s easy to understand why now.” Mary Hannigan; Emma Raducanu Needs to Rediscover the Joy of Sport; Irish Times (Dublin); Sep 8, 2022. “Unfortunately, we were driven astray by treacherous winds across an enormous expanse of surly sea.” Don Beach; Searching Heaven’s Vault; Writers Club Press; 2002."
"Copernican","adjective:
1. Very important; radically different; paradigm shifting.
2. Relating to Copernicus or his theory that the earth rotates on its axis and revolves around the sun.","“My fervent hope is for a Copernican shift: from a Trumpian, money-centered world to a human-centered world.” Peter A. Bakke; Concerning Trump; AuthorHouse; 2020. “This emerging picture of sentience, of rich inner lives, among surprisingly varied nonhuman species represents something of a Copernican revolution in how we view other beings on our planet.” Yudhijit Bhattacharjee; What Are Animals Thinking? They Feel Empathy, Grieve, Seek Joy Just Like Us; National Geographic; Oct 2022. “In childhood, most people don’t hold the Copernican view, but instead think as if the heavens were in motion around them. ... In the world at large, people who are able to free themselves from this self-centered way of thinking are truly uncommon.” Genzaburo Yoshino (Translator: Bruno Navasky); How Do You Live?; Algonquin; 2021."
"ritzy","adjective: Stylish, glamorous, elegant, fashionable, etc., especially in an ostentatious manner.","“Ostentatious displays of wealth are less frequent since Xi Jinping took over ... but sports cars, ritzy restaurants, and luxury clothing stores are still common in big cities.” Inequality in China; The Economist (London, UK); May 14, 2016."
"bacchanalize","verb intr.: To engage in wild revelry.","“We three could bacchanalize a little. But Jennifer mustn’t know about it.” Alexander Akishin; In the Valley of Armageddon; iUniverse; 2003."
"Overton window","noun: The range of beliefs, attitudes, etc., considered acceptable at any given time.","“The Overton window on climate policy in Canada has shifted remarkably in just two years. In 2019, Conservative Leader Andrew Scheer fought the election explicitly against Trudeau’s carbon tax, but this time out, Erin O’Toole’s Conservatives had their own carbon pricing plan.” The Election That Disappointed Everyone; Chatelaine (Toronto, Canada); Sep 21, 2021."
"Barmecide","noun: One giving only the illusion of abundance or some benefits.","“We can recreate in a factional moment whole years gone past ... overdrawing upon a Barmecide deposit of minutes, staking fresh claims upon a mirage?” Abraham Merritt; The Metal Monster; Musaicum Books; 2018."
"shrinkflation","noun: The practice of reducing the size of products while selling at the same price.","“Shrinkflation is a very real thing, pretty soon a bag of salty, fatty air will be all that is left!” OT Strange; The Restoration of The Real; Lulu; 2021."
"selectorate","noun: A smaller group of people, as opposed to the general population, involved in picking a person, especially for a political position.","“Because this was not a general election, most of Britain was sitting on the sidelines while a selectorate of 172,437 dues-paying Conservative Party members -- less than 0.3 percent of the population -- determined the country’s political future.” Karla Adam & William Booth; As Johnson’s Successor, Truss Inherits a UK in Peril; The Washington Post; Sep 6, 2022."
"frizzle","verb intr.: To make a sizzling or sputtering noise.
verb tr.: To fry until crisp or curled.
verb intr.: To form into small tight curls; to frizz.
noun: A short curl.","“She ... put a measure of batter on the frying pan. It frizzled for a moment.” Karin Altenberg; Breaking Light; Quercus; 2016."
"Sloane Ranger","noun: A young, fashionable, upper-class person.","“Go full-on Sloane Ranger in high-rise jeans and an oversize blazer.” Fabulous at Every Age; Harper’s Bazaar (New York); Sep 2018."
"fertigation","noun: The application of fertilizer by adding it to the water in an irrigation system.","“Meg could tell that Christopher was assessing their condition even as he expounded on the alternatives for irrigation. They had covered most of the acreage when he arrived at a final point. ‘Have you considered fertigation?’” Sheila Connolly; Golden Malicious; Berkley; 2013."
"misophonia","noun: An intolerance of certain sounds, such as chewing, slurping, etc.","“I sipped my coffee, slurping it as loudly as possible to irritate Max. He absolutely hated the sounds people made when eating or drinking -- misophonia, I think.” Stephanie Berchiolly; Train Bound to Forty; 2022. “His distinct Long Island accent that hits my misophonia-cursed ears just the wrong way.” Chapter 1: Back to the Single Life; Cosmopolitan (New York); Feb 2022."
"lawfare","noun: The use of the legal system to overwhelm an opponent.","“‘What we’re seeing in Manila is lawfare,’ says Australian journalist and press freedom advocate Peter Greste. ‘The government doesn’t need to be successful. It just needs to throw enough cases at Rappler and hope that something sticks, and if it doesn’t, you end up tying them up in court, costing them enormous amounts of money and time, and causing massive mental stress.’” Tim Elliott; Hot Press; Sydney Morning Herald (Australia); Sep 18, 2021."
"gerontocracy","noun: The system of government by old people.","“For the third time in six years, the gerontocracy that is the Conservative party membership has selected the UK’s next prime minister. The party zealously guards the details of this rarefied selectorate but academics put the average age at 57, with just 6 per cent under the age of 25.” Will Tanner; Voiceless Youth Should Worry an Ageing Tory Party; Financial Times (London, UK); Sep 6, 2022."
"gamesmanship","noun:
1. The use of legal, but unethical, tactics in a contest. For example, psychological intimidation, manipulation, distraction, etc.
2. The use of questionable means to gain an advantage.","“Horschel even tried to gamesmanship on Scheffler, wearing the same white shirt and salmon-colored slacks he donned for last year’s Dell championship match.” Kirk Bohls; Scheffler Making a Run at No. 1 World Ranking; Austin American-Statesman (Texas); Mar 27, 2022. “But political gamesmanship aside, the victims here are real people whose lives have been disrupted -- many of whom left family and friends behind, lost their jobs and belongings, and travelled thousands of miles, only to be used as props in an election-year stunt.” Could Gov. DeSantis’ Stunt Bring Immigration Reform? It’s Not Likely; Pensacola News Journal (Florida); Sep 25, 2022."
"phonophobia","noun:
1. A fear of or intolerance of loud sounds.
2. A hypersensitivity to sound.
3. An aversion to the sound of one’s own voice.","“You were the one ... eating your lunch in the noisiest place on the planet, despite your raging phonophobia.” Brea Brown; Quiet, Please!; Wayzgoose Press; 2020. “John, a grown man, becomes an insecure bundle of nerves with sweaty palms and constricted breathing whenever he has to make a telephone call. ... John is probably suffering from phonophobia.” For Some, Telephone Is Terrifying; The Citizen (Ottawa, Canada); Dec 17, 1985. [Is John fearful of sound, hearing his own voice, or the phone? -Ed.]"
"retcon","noun: The introduction of new information to give a different interpretation of an established storyline.
verb tr.: To revise a storyline in this manner.","“And if it goes wrong with her, we can just back it up, retcon it, make it didn’t happen?” Heather W Adams; Missing the Boat; Bookwyrm; 2021."
"flak","noun:
1. Severe criticism.
2. Anti-aircraft fire.","“I’ll take the praise or the flak, whichever comes.” Bobbi Smith; Treasures & Pleasures; Invoke Books; 2016. “In 2015 Uzbekistan Airways started measuring how heavy flyers were for safety reasons. But predictably, the practice has got some airlines a lot of flak from their passengers.” The Case for Weighing Passengers Before Flights: Fat Tax; The Economist (London, UK); May 3, 2019."
"hazmat","noun: Dangerous material, for example, something toxic, explosive, or inflammable.
adjective: Relating to hazardous material.","“Charity Stinks. At least it will for Nathan Oystrick and Jordan LaVallee, a couple of AHL players who have decided to wear their hockey equipment for 27 hours because someone said it would be a fun way to raise money for a couple of charities. [They] have to play in next Wednesday’s game against Peoria Riverman then stay fully dressed overnight before practicing the next day, making appearances at a handful of Chicago restaurants and finally shedding their wretched gear at precisely 10 pm. No word on whether hazmat officials will be standing by in case of a spill.” Allan Maki; Charity Stinks; Globe and Mail (Toronto, Canada); Dec 12, 2007."
"larp","noun:	A role-playing game in which participants assume various characters and use costumes and props.
verb intr.:	1. To play such a game.
	2. To pretend to be what one is not.
","“If Collins is pro-choice, then I’m Baba Yaga. It’s time the political press stopped playing along with her centrist LARPing.” Erin Gloria Ryan; It’s Time to Stop Calling Susan Collins “Pro-Choice”; The Daily Beast (New York); Sep 25, 2021. “Chaos League, the Italian collective, created a larp about water shortages in the developing world, in which players received only half a litre of water per day.” Neima Jahromi; The Great Pretenders; The New Yorker; May 30, 2022."
"blad","noun: A promotional flier or a book extract packaged to showcase and promote a book.","“During Book Expo, the imprint threw a party for Bittman at Jean-Georges, where giveaways included a 32-page blad, a package of spices, and recipe postcards.” Lynn Andriani; The Minimalist Thinks Big; Publishers Weekly (New York); Jul 25, 2005."
"incarnate","adjective:	1. Embodied in flesh.
	2. Personified.
	3. Flesh-colored; blood red..
verb tr.:	1. To give bodily form to.
	2. To make real; to actualize.
	3. To personify.
","“Now we have this little boy who’s just light and joy incarnate.” Kara Baskin; Foster Care, Fleeting Custody, Enduring Love; Boston Globe (Massachusetts); Apr 15, 2022. “This woman was poetry incarnate! She was pity incarnate! She was passion incarnate!” Joseph Hocking; The Everlasting Arms; Hodder & Stoughton; 1919."
"unplugged","adjective:
1. Authentic; unadorned.
2. Refraining from the constant use of electronic communication and entertainment devices.
3. Relating to music performed with acoustic rather than electric instruments.
4. Not connected to an electrical outlet.
5. Without a plug or stopper (of a container of liquid).
6. Low-key; intimate.","“Groeschel’s religious order is orthodoxy unplugged. He and his young friars wear long beards and gray medieval habits, girded by a rope tied into three knots -- reminders of their vows of poverty, chastity, and obedience (‘No bling-bling, no sweet thing, Christ is King,’ in the community vernacular).” Peter J. Boyer; A Hard Faith; The New Yorker; May 16, 2005. “Will knew all about Vista Del Mar being unplugged. It was fine with him as he was into the place being authentic. ‘And it will be a lot safer. I’ve seen guests walk right off the paved path without realizing it. They have their noses stuck in their screens.’” Betty Hechtman; Silence of the Lamb’s Wool; Penguin; 2014. “[Wayne] Shorter must have felt that something was amiss as well. By 1997, he returned to making acoustic recordings. The final performances on ‘Footprints’ are blissfully unplugged.” Steve Futterman; Wayne’s World; The New Yorker; Dec 20, 2004. “The stepson turned the TV back on and the stepfather unplugged it, which happened several times. Tempers flared and Kevin shoved his stepfather, who hit his head against a concrete wall and died on the spot.” CE Noticias Financieras English; Aug 7, 2022."
"a gogo","adjective: In abundance.","“There was music, dancing, and champagne a gogo.” Lina Simoni; The Scent Of Rosa’s Oil; Kensington; 2008."
"presumptive","adjective:
1. Assumed; expected; inferred.
2. Giving a reasonable basis for belief.","“This Saturday night in their living room they are playing Twenty Questions with their four best friends [including] the boozing and brawling Fred and his fourth wife presumptive, the ignorant but jolly Carol.” John Simon; John Simon on Theater; Applause Theatre & Cinema Books; 2005."
"at large","adjective:	1. Having a wide scope.
	2. As a whole.
	3. Not captured.
adverb:	In a general manner.
","“He signed on for a five-year stint in ... the enviable position of Editor-at-Large which allowed him to pursue anything he fancied.” John Patrick Kavanagh; Weekend at Prism; Riverdale; 2016. “Most of those believed to be responsible are still at large.” An Anti-Corruption Party Triumphs; The Economist (London, UK); Jul 17, 2021."
"malcontent","noun: One who is chronically dissatisfied.
adjective: Chronically dissatisfied, complaining, rebellious, etc.","“I had met for hours alone with the malcontents and tried to both listen to their ideas and to explain the other side of the issues to them. It had not worked.” Mallory James; Nowhere Man; iUniverse; 2018."
"fanboy","noun: A boy or man who is an extremely enthusiastic follower of someone or something.
verb intr.: To behave in an obsessive way about someone or something.","“Ayn Rand fanboys are not exactly famous for their doctrinal consistency, and [Joshua] Schulte’s concerns about ‘Big Brother’ don’t appear to have occasioned much soul-searching in the years he spent building surveillance weapons for a spy agency.” Patrick Radden Keefe; The Surreal Case of a CIA Hacker’s Revenge; The New Yorker; Jun 6, 2022."
"thaumaturge","noun:
1. A miracle worker.
2. A magician.","“Gottlieb brought me health like a thaumaturge. He came a first time to examine the situation, then several more times, equipped with vials and syringes, and a last time, when he said, ‘Rise and walk.’ The pain had disappeared.” Primo Levi; The Complete Works of Primo Levi; Liveright; 2015."
"temporizer","noun: One who delays, waiting for a favorable time, or to avoid making a decision.","“He isn’t the overly cautious temporizer that his critics claim, but someone willing to take risks in the name of a good cause.” Tory Must Seize the Moment; Toronto Star (Canada); Oct 23, 2018."
"casuist","noun: One who employs deceptive or excessively subtle reasoning, especially on moral issues.","“A Franciscan casuist says there is no theological impediment against an automated bell.” For Whom the Bell No Longer Tolls: Jerusalem; The Economist (London, UK); Jan 5, 2013."
"truffle","verb intr.:	To search, rummage, dig up, etc.
verb tr.:	To stuff or to intersperse with something.
noun:	1. Any of various edible fungi that grow underground.
	2. A soft, round candy made with chocolate, often coated with cocoa powder.
","“I figure there’s no need to mention how Michael is truffling around trying to find out what Sarah intended to write about.” Jane Pek; The Verifiers; Knopf; 2022. “Bass serves up a rich smorgasbord of a memoir, truffled with pungent anecdotes, sometimes funny, sometimes sorrowful, always savory.” Liesl Schillinger; Travel; New York Times Book Review; Jun 3, 2018."
"scunner","verb tr.:	To disgust or sicken.
verb intr.:	To feel disgust or to flinch.
noun:	1. Dislike or disgust.
	2. A rascal; nuisance.
","“The smell was so scunnering it made him want to puke up.” Obituary: Stanley Robertson; The Economist (London, UK); Sep 5, 2009. “Perhaps if she did not call her a scunner right off, they might be friends.” Marti Talbott; A Time of Madness; MT Creations Corporation; 2011."
"tomcat","noun:	1. A male domestic cat.
	2. A womanizer.
verb intr.:	To pursue women promiscuously.
","“Just before Khloe gave birth last year, there were rumours about [Tristan Thompson] cheating. In recent weeks the NBA star, who plays for the Cleveland Cavaliers, is reported to have been tomcatting around again.” Cracking up with the Kardashians; The Daily Mirror (London, UK); Feb 21, 2019."
"whinge","verb intr.: To whine or to complain.
noun: A whine or complaint.","“Wrinkles, work, our weight, and the weather -- we all whinge and moan about them.” An Intensely Personal Story; Maclean’s (Toronto, Canada); Jun 10, 2002. “Occasional whinges are okay, but constant griping is not.” Carolyn Hax; Everyone Can Benefit When You Help Bad Gift Givers; The Washington Post; Dec 29, 2015."
"nitch","noun: A notch or a small cut.
verb tr.: To make a small cut or notch.","“‘With a nitch in it,’ she added, referring to the dimple at its crest.” Oxford S. Stroud; To Yield a Dream; NewSouth Books; 2002. “I engraved, or nitched, on the broad end of the oar.” Jack London; The Star Rover; Macmillan; 1915."
"marathon","noun:	1. A footrace of 26 miles, 385 yards (42.195 km).
	2. Any long-distance race, for example, a swimming marathon.
	3. An endurance event or contest, such as a dance marathon.
	4. An event of greater than usual length, for example, a Netflix marathon.
adjective:	Relating to something that requires a lot of effort and endurance.
verb tr.:	To take part in a long race, task, event, etc., or one that requires long sustained effort.
","What was meant as a brief run of negotiations became a marathon.” An Unenriching Debate; The Economist (London, UK); Sep 10, 2022. “The first day of Prime Minister Benjamin Netanyahu’s long-awaited pre-indictment hearing ... finally ended after a marathon session lasting nearly 12 hours.” Yonah Jeremy Bob; PM’s Lawyers Present New Evidence; Jerusalem Post (Israel); Oct 3, 2019. “We were in a musical mood, and so we marathoned Shine, Amadeus, and Immortal Beloved (one of your favorite films).” C.J. Cala; Some Blue Suited Bird; Createspace; 2016."
"","",""
"interlope","verb intr.: To intrude or interfere.","“How dare they interlope on my isolation ... I want to be alone.” Mick O’Reilly; Walking the Camino de Santiago; Gulf News (Dubai); Jan 3, 2018."
"prodrome","noun: An early symptom that indicates the onset of a disease or an episode of something such as a migraine.","“Other sufferers experience a migraine prodrome -- a general feeling that a migraine will strike. This usually occurs one or two hours before the headache starts.” What’s Behind the Pain of Migraines; USA Today (McLean, Virginia); Oct 2000."
"dromomania","noun
1. A compulsive desire to travel.
2. An excessive enthusiasm for running.","“Dromomania was his curse. ... Compulsive traveling. Wanderlust.” Harlan Ellison; Goodbye to All That; McSweeney’s; 2002."
"cherubic","adjective: Having a sweet, innocent appearance.","“I can’t help but think how proud I am of the beautiful little boy with the cherubic face as he matures into a fine young man.” Rebecca Whitfield-Baker; When the School Bell Chimes for the Last Time; The Advertiser (Adelaide, Australia); Oct 30, 2022."
